stem;ind3sg;ind3pl;prescont3sg;prescont3pl
retire;retires;retire;is retiring;are retiring
please;pleases;please;is pleasing;are pleasing
sleigh;sleighs;sleigh;is sleighing;are sleighing
adjudicate;adjudicates;adjudicate;is adjudicating;are adjudicating
overleap;overleaps;overleap;is overleaping;are overleaping
call;calls;call;is calling;are calling
spearhead;spearheads;spearhead;is spearheading;are spearheading
paraphrase;paraphrases;paraphrase;is paraphrasing;are paraphrasing
clem;clems;clem;is clemming;are clemming
regard;regards;regard;is regarding;are regarding
bicycle;bicycles;bicycle;is bicycling;are bicycling
mug;mugs;mug;is mugging;are mugging
blanch;blanches;blanch;is blanching;are blanching
limber;limbers;limber;is limbering;are limbering
engineer;engineers;engineer;is engineering;are engineering
harmonize;harmonizes;harmonize;is harmonizing;are harmonizing
lop;lops;lop;is lopping;are lopping
reconvert;reconverts;reconvert;is reconverting;are reconverting
bulletproof;bulletproofs;bulletproof;is bulletproofing;are bulletproofing
portage;portages;portage;is portaging;are portaging
coinsure;coinsures;coinsure;is coinsuring;are coinsuring
strut;struts;strut;is strutting;are strutting
superpose;superposes;superpose;is superposing;are superposing
disseminate;disseminates;disseminate;is disseminating;are disseminating
carry;carries;carry;is carrying;are carrying
stare;stares;stare;is staring;are staring
strop;strops;strop;is stropping;are stropping
winch;winches;winch;is winching;are winching
repossess;repossesses;repossess;is repossessing;are repossessing
pinion;pinions;pinion;is pinioning;are pinioning
dado;dados;dado;is dadoing;are dadoing
fend;fends;fend;is fending;are fending
canonize;canonizes;canonize;is canonizing;are canonizing
hyperbolize;hyperbolizes;hyperbolize;is hyperbolizing;are hyperbolizing
forcefeed;forcefeeds;forcefeed;is forcefeeding;are forcefeeding
ideate;ideates;ideate;is ideating;are ideating
federalize;federalizes;federalize;is federalizing;are federalizing
rubefy;rubefies;rubefy;is rubefying;are rubefying
brazen;brazens;brazen;is brazening;are brazening
egress;egresses;egress;is egressing;are egressing
used;uses;used;is using;are using
suck;sucks;suck;is sucking;are sucking
homogenize;homogenizes;homogenize;is homogenizing;are homogenizing
cluck;clucks;cluck;is clucking;are clucking
clomp;clomps;clomp;is clomping;are clomping
untidy;untidies;untidy;is untidying;are untidying
fabricate;fabricates;fabricate;is fabricating;are fabricating
preempt;preempts;preempt;is preempting;are preempting
gob;gobs;gob;is gobbing;are gobbing
brace;braces;brace;is bracing;are bracing
repeat;repeats;repeat;is repeating;are repeating
scandal;scandals;scandal;is scandaling;are scandaling
clinker;clinkers;clinker;is clinkering;are clinkering
cog;cogs;cog;is cogging;are cogging
dizen;dizens;dizen;is dizening;are dizening
follow;follows;follow;is following;are following
attire;attires;attire;is attiring;are attiring
compound;compounds;compound;is compounding;are compounding
divagate;divagates;divagate;is divagating;are divagating
mirror;mirrors;mirror;is mirroring;are mirroring
plan;plans;plan;is planning;are planning
plunge;plunges;plunge;is plunging;are plunging
unfreeze;unfreezes;unfreeze;is unfreezing;are unfreezing
befall;befalls;befall;is befalling;are befalling
short-list;short-lists;short-list;is short-listing;are short-listing
club;clubs;club;is clubbing;are clubbing
syllogize;syllogizes;syllogize;is syllogizing;are syllogizing
barge;barges;barge;is barging;are barging
japan;japans;japan;is japanning;are japanning
reheat;reheats;reheat;is reheating;are reheating
corroborate;corroborates;corroborate;is corroborating;are corroborating
quitclaim;quitclaims;quitclaim;is quitclaiming;are quitclaiming
mumm;mums;mumm;is mumming;are mumming
splosh;sploshes;splosh;is sploshing;are sploshing
freewheel;freewheels;freewheel;is freewheeling;are freewheeling
overture;overtures;overture;is overturing;are overturing
pollinate;pollinates;pollinate;is pollinating;are pollinating
coarsen;coarsens;coarsen;is coarsening;are coarsening
hight;hight;hight;is highting;are highting
tautologize;tautologizes;tautologize;is tautologizing;are tautologizing
occasion;occasions;occasion;is occasioning;are occasioning
phrase;phrases;phrase;is phrasing;are phrasing
beguile;beguiles;beguile;is beguiling;are beguiling
lacerate;lacerates;lacerate;is lacerating;are lacerating
sauce;sauces;sauce;is saucing;are saucing
videotape;videotapes;videotape;is videotapeing;are videotapeing
recentralize;recentralizes;recentralize;is recentralizing;are recentralizing
fetter;fetters;fetter;is fettering;are fettering
fillagree;filigrees;fillagree;is filigreeing;are filigreeing
ticket;tickets;ticket;is ticketing;are ticketing
embellish;embellishes;embellish;is embellishing;are embellishing
parasitize;parasitizes;parasitize;is parasitizing;are parasitizing
siege;sieges;siege;is sieging;are sieging
impropriate;impropriates;impropriate;is impropriating;are impropriating
disinter;disinters;disinter;is disinterring;are disinterring
disinterest;disinterests;disinterest;is disinteresting;are disinteresting
ensue;ensues;ensue;is ensuing;are ensuing
contango;contangoes;contango;is contangoing;are contangoing
ruffle;ruffles;ruffle;is ruffling;are ruffling
wherrit;wherrits;wherrit;is wherriting;are wherriting
argue;argues;argue;is arguing;are arguing
apostatize;apostatizes;apostatize;is apostatizing;are apostatizing
serialize;serializes;serialize;is serializing;are serializing
refer;refers;refer;is referring;are referring
pauperize;pauperizes;pauperize;is pauperizing;are pauperizing
dwindle;dwindles;dwindle;is dwindling;are dwindling
patrol;patrols;patrol;is patrolling;are patrolling
unseal;unseals;unseal;is unsealing;are unsealing
polka;polkas;polka;is polkaing;are polkaing
unbind;unbinds;unbind;is unbinding;are unbinding
catechize;catechizes;catechize;is catechizing;are catechizing
allegorize;allegorizes;allegorize;is allegorizing;are allegorizing
debrief;debriefs;debrief;is debriefing;are debriefing
gie;gies;gie;is gying;are gying
manducate;manducates;manducate;is manducating;are manducating
query;queries;query;is querying;are querying
murder;murders;murder;is murdering;are murdering
unbalance;unbalances;unbalance;is unbalancing;are unbalancing
lie;lies;lie;is lying;are lying
divaricate;divaricates;divaricate;is divaricating;are divaricating
pave;paves;pave;is paving;are paving
daydream;daydreams';day-dream;is daydream;are daydream
claim;claims;claim;is claiming;are claiming
alit;alit;alit;is alitting;are alitting
flute;flutes;flute;is fluting;are fluting
intermit;intermits;intermit;is intermitting;are intermitting
curtail;curtails;curtail;is curtailing;are curtailing
creep;creeps;creep;is creeping;are creeping
don;dons;don;is donning;are donning
gush;gushes;gush;is gushing;are gushing
syringe;syringe;syringe;is syringing;are syringing
invert;inverts;invert;is inverting;are inverting
jibe;jibes;jibe;is jibing;are jibing
itinerate;itinerates;itinerate;is itinerating;are itinerating
infract;infracts;infract;is infracting;are infracting
discard;discards;discard;is discarding;are discarding
lapidate;lapidates;lapidate;is lapidating;are lapidating
unroll;unrolls;unroll;is unrolling;are unrolling
nickel;nickels;nickel;is nickelling;are nickelling
rut;ruts;rut;is rutting;are rutting
bud;buds;bud;is budding;are budding
tense;tenses;tense;is tensing;are tensing
hike;hikes;hike;is hiking;are hiking
empt;empts;empt;is empting;are empting
shape;shapes;shape;is shaping;are shaping
relativize;relativizes;relativize;is relativizing;are relativizing
empathize;empathizes;empathize;is empathizing;are empathizing
baptize;baptizes;baptize;is baptizing;are baptizing
humble;humbles;humble;is humbling;are humbling
forelock;forelocks;forelock;is forelocking;are forelocking
retrieve;retrieves;retrieve;is retrieving;are retrieving
evert;everts;evert;is everting;are everting
volplane;volplanes;volplane;is volplaning;are volplaning
parleyvoo;parleyvoos;parleyvoo;is parleyvooing;are parleyvooing
troll;trolls;troll;is trolling;are trolling
confederate;confederates;confederate;is confederating;are confederating
decaffeinate;decaffeinates;decaffeinate;is decaffeinating;are decaffeinating
script;scripts;script;is scripting;are scripting
pug;pugs;pug;is pugging;are pugging
mitch;mitches;mitch;is mitching;are mitching
sort;sorts;sort;is sorting;are sorting
drool;drools;drool;is drooling;are drooling
nonsuit;nonsuits;nonsuit;is nonsuiting;are nonsuiting
welter;welters;welter;is weltering;are weltering
starve;starves;starve;is starving;are starving
procession;processions;procession;is processioning;are processioning
warsle;warsles;warsle;is warsling;are warsling
nab;nabs;nab;is nabbing;are nabbing
passage;passages;passage;is passaging;are passaging
pinfold;pinfolds;pinfold;is pinfolding;are pinfolding
scrimmage;scrimmages;scrimmage;is scrimmaging;are scrimmaging
metallize;metallizes;metallize;is metallizing;are metallizing
lath;laths;lath;is lathing;are lathing
resolve;resolves;resolve;is resolving;are resolving
subduct;subducts;subduct;is subducting;are subducting
gestate;gestates;gestate;is gestating;are gestating
tope;topes;tope;is toping;are toping
silk;silks;silk;is silking;are silking
enamour;enamours;enamour;is enamouring;are enamouring
diazotize;diazotizes;diazotize;is diazotizing;are diazotizing
expostulate;expostulates;expostulate;is expostulating;are expostulating
shouldst;shouldsts;shouldst;is shouldsting;are shouldsting
racketeer;racketeers;racketeer;is racketeering;are racketeering
list;lists;list;is listing;are listing
maunder;maunders;maunder;is maundering;are maundering
slalom;slaloms;slalom;is slaloming;are slaloming
fasten;fastens;fasten;is fastening;are fastening
grabble;grabbles;grabble;is grabbling;are grabbling
gutter;gutters;gutter;is guttering;are guttering
alkalify;alkalifies;alkalify;is alkalifying;are alkalifying
trademark;trademarks;trademark;is trademarking;are trademarking
flood;floods;flood;is flooding;are flooding
incarnate;incarnates;incarnate;is incarnating;are incarnating
sicken;sickens;sicken;is sickening;are sickening
bowwow;bowwows;bowwow;is bowwowing;are bowwowing
dower;dowers;dower;is dowering;are dowering
crepitate;crepitates;crepitate;is crepitating;are crepitating
annotate;annotates;annotate;is annotating;are annotating
drench;drenches;drench;is drenching;are drenching
introject;introjects;introject;is introjecting;are introjecting
berate;berates;berate;is berating;are berating
embay;embays;embay;is embaying;are embaying
bereft;bereft;bereft;is berefting;are berefting
disrelish;disrelishes;disrelish;is disrelishing;are disrelishing
skimp;skimps;skimp;is skimping;are skimping
recall;recalls;recall;is recalling;are recalling
douche;douches;douche;is douching;are douching
spring;springs;spring;is springing;are springing
map;maps;map;is mapping;are mapping
insure;insures;insure;is insuring;are insuring
raddle;raddles;raddle;is raddling;are raddling
ladle;ladles;ladle;is ladling;are ladling
slipsheet;slipsheets;slipsheet;is slipsheeting;are slipsheeting
demonetize;demonetizes;demonetize;is demonetizing;are demonetizing
oxygenize;oxygenizes;oxygenize;is oxygenizing;are oxygenizing
crosscut;crosscuts;crosscut;is crosscutting;are crosscutting
impeach;impeaches;impeach;is impeaching;are impeaching
sport;sports;sport;is sporting;are sporting
substitute;substitutes;substitute;is substituting;are substituting
propound;propounds;propound;is propounding;are propounding
concentre;concentres;concentre;is concentring;are concentring
appall;appals;appall;is appalling;are appalling
confirm;confirms;confirm;is confirming;are confirming
prank;pranks;prank;is pranking;are pranking
blackmarket;blackmarkets;blackmarket;is blackmarketing;are blackmarketing
fig;figs;fig;is figging;are figging
hinny;hinnies;hinny;is hinnying;are hinnying
die;dies;die;is dying;are dying
rely;relies;rely;is relying;are relying
boycott;boycotts;boycott;is boycotting;are boycotting
crumble;crumbles;crumble;is crumbling;are crumbling
blackleg;blacklegs;blackleg;is blacklegging;are blacklegging
swivel;swivels;swivel;is swiveling;are swiveling
dispel;dispels;dispel;is dispelling;are dispelling
coextend;coextends;coextend;is coextending;are coextending
despumate;despumates;despumate;is despumating;are despumating
retrocede;retrocedes;retrocede;is retroceding;are retroceding
loom;looms;loom;is looming;are looming
pitch;pitches;pitch;is pitching;are pitching
rhapsodize;rhapsodizes;rhapsodize;is rhapsodizing;are rhapsodizing
horseshoe;horseshoes;horseshoe;is horseshoeing;are horseshoeing
jockey;jockeys;jockey;is jockeying;are jockeying
galumph;galumphs;galumph;is galumphing;are galumphing
blow;blows;blow;is blowing;are blowing
mist;mists;mist;is misting;are misting
rim;rims;rim;is rimming;are rimming
wax;waxes;wax;is waxing;are waxing
clonk;clonks;clonk;is clonking;are clonking
bypass;bypasses';bypass;is by-passing;are by-passing
glare;glares;glare;is glaring;are glaring
gree;grees;gree;is greeing;are greeing
confiscate;confiscates;confiscate;is confiscating;are confiscating
fructify;fructifies;fructify;is fructifying;are fructifying
joint;joints;joint;is jointing;are jointing
counterclaim;counterclaims;counterclaim;is counterclaiming;are counterclaiming
bronze;bronzes;bronze;is bronzing;are bronzing
criticize;criticizes;criticize;is criticizing;are criticizing
widow;widows;widow;is widowing;are widowing
flux;fluxes;flux;is fluxing;are fluxing
bus;busses;bus;is bussing;are bussing
nick;nicks;nick;is nicking;are nicking
botch;botches;botch;is botching;are botching
